id_event,Event,Season,Year,NOC,Sport
343,"Fencing Women's Foil, Individual",Summer,1928,BEL,Fencing
344,Sailing Mixed Two Person Keelboat,Summer,1992,FRA,Sailing
345,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Summer,1920,SUI,Shooting
346,Table Tennis Men's Doubles,Summer,1996,GHA,Table Tennis
347,"Wrestling Men's Light-Flyweight, Freestyle",Summer,1988,NGR,Wrestling
348,"Wrestling Women's Featherweight, Freestyle",Summer,2016,NGR,Wrestling
349,Swimming Women's 200 metres Freestyle,Summer,1996,SUR,Swimming
350,Swimming Women's 400 metres Freestyle,Summer,1996,SUR,Swimming
351,Swimming Women's 200 metres Individual Medley,Summer,1996,SUR,Swimming
352,Sailing Men's Windsurfer,Summer,1992,SEY,Sailing
353,Freestyle Skiing Men's Slopestyle,Winter,2014,FRA,Freestyle Skiing
354,"Shooting Men's Running Target, Single Shot",Summer,1924,FRA,Shooting
355,"Shooting Men's Running Target, Double Shot",Summer,1924,FRA,Shooting
356,Rugby Sevens Men's Rugby Sevens,Summer,2016,KEN,Rugby Sevens
357,"Wrestling Women's Lightweight, Freestyle",Summer,2016,NGR,Wrestling
358,Modern Pentathlon Women's Individual,Summer,2016,EGY,Modern Pentathlon
359,"Canoeing Men's Canadian Doubles, Slalom",Summer,1992,FRA,Canoeing
360,Judo Women's Half-Lightweight,Summer,2016,MGL,Judo
361,Diving Women's Plain High,Summer,1924,AUT,Diving
362,"Equestrianism Men's Dressage, Individual",Summer,1936,SWE,Equestrianism
363,"Equestrianism Men's Dressage, Team",Summer,1936,SWE,Equestrianism
364,"Tennis Women's Singles, Covered Courts",Summer,1908,SWE,Tennis
365,Diving Men's Plain High,Summer,1912,SWE,Diving
366,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Summer,1976,CAN,Shooting
367,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Summer,1976,CAN,Shooting
368,Swimming Women's 800 metres Freestyle,Summer,2008,GBR,Swimming
369,Sailing Women's Two Person Dinghy,Summer,1988,FRG,Sailing
370,Alpine Skiing Women's Downhill,Winter,1964,SUI,Alpine Skiing
371,"Shooting Men's Free Pistol, 50 metres, Team",Summer,1920,BEL,Shooting
372,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Summer,1920,BEL,Shooting
373,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Summer,1920,BEL,Shooting
374,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Summer,1920,BEL,Shooting
375,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Summer,1920,BEL,Shooting
376,"Shooting Men's Free Rifle, Prone, 600 metres",Summer,1924,BEL,Shooting
377,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Summer,1924,BEL,Shooting
378,Rowing Men's Single Sculls,Summer,1952,CHI,Rowing
379,"Cycling Men's Tandem Sprint, 2,000 metres",Summer,1948,SUI,Cycling
380,Freestyle Skiing Women's Halfpipe,Winter,2014,BEL,Freestyle Skiing
381,Athletics Women's Heptathlon,Summer,2012,BEL,Athletics
382,Cycling Men's Points Race,Summer,1992,SUI,Cycling
383,Synchronized Swimming Women's Solo,Summer,1992,FRA,Synchronized Swimming
384,"Equestrianism Mixed Dressage, Individual",Summer,1972,SUI,Equestrianism
385,"Equestrianism Mixed Dressage, Team",Summer,1972,SUI,Equestrianism
386,Cross Country Skiing Men's 18 kilometres,Winter,1924,SUI,Cross Country Skiing
387,Swimming Men's 100 metres Breaststroke,Summer,2012,ROU,Swimming
388,Figure Skating Mixed Ice Dancing,Winter,2014,TUR,Figure Skating
389,"Shooting Mixed Free Pistol, 50 metres",Summer,1968,PHI,Shooting
390,Sailing Women's Skiff,Summer,2016,NOR,Sailing
391,"Canoeing Men's Kayak Doubles, 10,000 metres",Summer,1952,ITA,Canoeing
392,Triathlon Men's Olympic Distance,Summer,2008,AUT,Triathlon
393,Sailing Women's One Person Dinghy,Summer,2012,GRE,Sailing
394,Cross Country Skiing Women's 30 kilometres,Winter,2014,ITA,Cross Country Skiing
395,Cross Country Skiing Women's 15 km Skiathlon,Winter,2014,ITA,Cross Country Skiing
396,Rowing Men's 17-Man Naval Rowing Boats,Summer,1906,GRE,Rowing
397,Beach Volleyball Women's Beach Volleyball,Summer,2016,VEN,Beach Volleyball
398,Weightlifting Men's Super-Heavyweight,Summer,1992,CUB,Weightlifting
399,Rowing Men's Lightweight Coxless Fours,Summer,1996,POR,Rowing
400,"Wrestling Men's Light-Flyweight, Greco-Roman",Summer,1996,MEX,Wrestling
401,"Canoeing Men's Canadian Singles, 1,000 metres",Summer,2004,CUB,Canoeing
402,Sailing Mixed 5.5 metres,Summer,1964,MEX,Sailing
403,"Equestrianism Mixed Jumping, Team",Summer,1976,MEX,Equestrianism
404,Diving Men's Synchronized Platform,Summer,2012,CUB,Diving
405,Snowboarding Men's Halfpipe,Winter,2006,USA,Snowboarding
406,"Canoeing Women's Kayak Singles, Slalom",Summer,1992,FRA,Canoeing
407,Weightlifting Women's Flyweight,Summer,2016,INA,Weightlifting
408,Swimming Women's 100 metres Breaststroke,Summer,1984,ISL,Swimming
409,Swimming Women's 200 metres Breaststroke,Summer,1984,ISL,Swimming
410,"Wrestling Men's Middleweight B, Greco-Roman",Summer,1912,SWE,Wrestling
411,Athletics Men's Stone Throw,Summer,1906,FIN,Athletics
412,"Athletics Men's Javelin Throw, Freestyle",Summer,1906,FIN,Athletics
413,Athletics Men's Pentathlon (Ancient),Summer,1906,FIN,Athletics
414,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Summer,2012,IRI,Shooting
415,Swimming Women's 100 metres Butterfly,Summer,1992,USA,Swimming
416,Weightlifting Men's Heavyweight I,Summer,1996,IRQ,Weightlifting
417,"Athletics Women's 3,000 metres Steeplechase",Summer,2008,ETH,Athletics
418,"Athletics Men's Shot Put, Both Hands",Summer,1912,FIN,Athletics
419,"Ski Jumping Men's Large Hill, Individual",Winter,1994,FIN,Ski Jumping
420,"Ski Jumping Men's Large Hill, Team",Winter,1994,FIN,Ski Jumping
421,Shooting Women's Trap,Summer,2008,NAM,Shooting
422,Badminton Men's Doubles,Summer,2012,INA,Badminton
423,Swimming Women's 4 x 200 metres Freestyle Relay,Summer,2016,CHN,Swimming
424,Athletics Men's 10 kilometres Walk,Summer,1912,RUS,Athletics
425,Athletics Women's 20 kilometres Walk,Summer,2012,LTU,Athletics
426,Athletics Women's 80 metres Hurdles,Summer,1964,AUT,Athletics
427,Sailing Men's One Person Heavyweight Dinghy,Summer,2012,GBR,Sailing
428,Freestyle Skiing Women's Aerials,Winter,2010,GBR,Freestyle Skiing
429,"Art Competitions Mixed Painting, Paintings",Summer,1928,GBR,Art Competitions
430,"Tennis Mixed Doubles, Covered Courts",Summer,1912,GBR,Tennis
431,Cycling Men's Madison,Summer,2000,AUS,Cycling
432,"Art Competitions Mixed Sculpturing, Statues",Summer,1928,USA,Art Competitions
433,Rugby Men's Rugby,Summer,1900,FRA,Rugby
434,Weightlifting Men's Heavyweight II,Summer,1992,IRI,Weightlifting
435,"Canoeing Women's Kayak Doubles, 500 metres",Summer,1996,JPN,Canoeing
436,"Short Track Speed Skating Men's 5,000 metres Relay",Winter,1992,JPN,Short Track Speed Skating
437,Cycling Men's Individual Time Trial,Summer,2012,TUR,Cycling
438,Judo Women's Heavyweight,Summer,1992,FIN,Judo
439,"Canoeing Men's Kayak Doubles, 1,000 metres",Summer,1960,FIN,Canoeing
440,"Gymnastics Men's Individual All-Around, 5 Events",Summer,1906,GRE,Gymnastics
441,"Wrestling Men's Super-Heavyweight, Freestyle",Summer,2012,TUR,Wrestling
442,Biathlon Women's 10 kilometres Pursuit,Winter,2006,RUS,Biathlon
443,Biathlon Women's 12.5 kilometres Mass Start,Winter,2006,RUS,Biathlon
444,Biathlon Women's 4 x 6 kilometres Relay,Winter,2006,RUS,Biathlon
445,"Fencing Women's Sabre, Team",Summer,2016,USA,Fencing
446,Shooting Men's Double Trap,Summer,2016,IOA,Shooting
447,Weightlifting Men's Bantamweight,Summer,1996,KSA,Weightlifting
448,Taekwondo Men's Heavyweight,Summer,2000,KSA,Taekwondo
449,Sailing Mixed Windsurfer,Summer,1988,QAT,Sailing
450,Taekwondo Women's Welterweight,Summer,2008,UAE,Taekwondo
451,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Summer,1968,FIN,Shooting
452,Skeleton Men's Skeleton,Winter,2002,RUS,Skeleton
453,Cycling Men's 50 kilometres,Summer,1920,FRA,Cycling
454,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Summer,1968,ESP,Shooting
455,Cycling Men's 333 metres Time Trial,Summer,1906,GRE,Cycling
456,Cycling Men's 20 kilometres,Summer,1906,GRE,Cycling
457,"Canoeing Men's Kayak Singles, 10,000 metres",Summer,1952,ITA,Canoeing
458,Sailing Mixed Open,Summer,1900,FRA,Sailing
459,Sailing Mixed 1-2 Ton,Summer,1900,FRA,Sailing
460,"Canoeing Men's Canadian Singles, Slalom",Summer,1972,GBR,Canoeing
461,Luge Men's Singles,Winter,1998,GER,Luge
462,Luge Mixed (Men)'s Doubles,Winter,2002,CAN,Luge
463,Sailing Mixed Multihull,Summer,2016,BRA,Sailing
464,Badminton Women's Doubles,Summer,1992,SUI,Badminton
465,"Speed Skating Women's 3,000 metres",Winter,1980,GDR,Speed Skating
466,Cross Country Skiing Women's 5/10 kilometres Pursuit,Winter,1992,SUI,Cross Country Skiing
467,Cross Country Skiing Women's 4 x 5 kilometres Relay,Winter,1992,SUI,Cross Country Skiing
468,Cross Country Skiing Women's 15 kilometres,Winter,1994,SUI,Cross Country Skiing
469,Cross Country Skiing Women's 5/5 kilometres Pursuit,Winter,2002,SUI,Cross Country Skiing
470,Diving Women's Synchronized Platform,Summer,2000,MEX,Diving
471,Athletics Women's Triple Jump,Summer,2012,CUB,Athletics
472,Skeleton Women's Skeleton,Winter,2002,CAN,Skeleton
473,Bobsleigh Men's Four/Five,Winter,1924,FRA,Bobsleigh
474,"Art Competitions Mixed Painting, Drawings And Water Colors",Summer,1928,USA,Art Competitions
475,"Shooting Men's Dueling Pistol, 30 metres",Summer,1912,CHI,Shooting
476,Boxing Women's Lightweight,Summer,2016,AZE,Boxing
477,Cycling Women's BMX,Summer,2012,LAT,Cycling
478,"Canoeing Men's Kayak Doubles, 200 metres",Summer,2012,KAZ,Canoeing
479,"Fencing Men's Sabre, Masters, Individual",Summer,1900,FRA,Fencing
480,Lacrosse Men's Lacrosse,Summer,1908,GBR,Lacrosse
481,"Canoeing Women's Kayak Singles, 500 metres",Summer,2004,GRE,Canoeing
482,Athletics Women's 10 kilometres Walk,Summer,1992,HUN,Athletics
483,Sailing Mixed 12 metres,Summer,1912,FIN,Sailing
484,Judo Women's Extra-Lightweight,Summer,2004,CAF,Judo
485,Diving Men's Synchronized Springboard,Summer,2000,GBR,Diving
486,"Rowing Men's Coxed Fours, Outriggers",Summer,1912,FRA,Rowing
487,Gymnastics Men's Rope Climbing,Summer,1906,GRE,Gymnastics
488,Sailing Mixed Two Person Dinghy,Summer,1984,NED,Sailing
489,"Art Competitions Mixed Architecture, Unknown Event",Summer,1936,GER,Art Competitions
490,"Archery Men's Target Archery, 28 metres, Team",Summer,1920,BEL,Archery
491,"Archery Men's Target Archery, 33 metres, Team",Summer,1920,BEL,Archery
492,"Archery Men's Target Archery, 50 metres, Team",Summer,1920,BEL,Archery
493,"Short Track Speed Skating Women's 3,000 metres Relay",Winter,1992,EUN,Short Track Speed Skating
494,Freestyle Skiing Women's Moguls,Winter,2002,FRA,Freestyle Skiing
495,Short Track Speed Skating Men's 500 metres,Winter,2002,GBR,Short Track Speed Skating
496,"Shooting Men's Running Target, 10 metres",Summer,1992,USA,Shooting
497,Polo Men's Polo,Summer,1920,USA,Polo
498,"Rowing Men's Coxed Fours, Inriggers",Summer,1912,DEN,Rowing
499,Cycling Men's BMX,Summer,2008,FRA,Cycling
